year,income16,conpress,conmedic,consci,confed,conjudge,conlegis,conarmy
2022,26,2,1,1,1,3,3,1
2022,26,3,2,1,3,3,3,3
2022,20,3,2,1,3,2,3,2
2022,26,2,1,2,2,3,2,2
2022,24,3,1,1,2,3,2,1
2022,26,1,1,1,1,1,2,1
2022,22,2,1,1,1,3,2,2
2022,24,3,1,1,2,2,2,1
2022,2,2,3,2,2,3,3,2
2022,24,3,3,3,3,3,3,3
2022,22,2,2,2,2,2,2,2
2022,22,2,2,1,3,2,2,2
2022,17,1,2,1,1,2,2,1
2022,15,2,2,2,2,3,3,1
2022,26,2,2,2,2,2,2,1
2022,26,1,1,1,3,3,3,3
2022,9,2,2,1,2,2,3,2
2022,24,3,1,1,2,2,2,2
2022,24,3,3,2,3,2,3,2
2022,26,2,3,2,2,2,3,2
2022,26,2,2,1,2,3,3,2
2022,16,2,1,3,1,1,1,3
2022,18,2,2,2,2,1,2,1
2022,26,3,2,2,2,2,3,3
2022,26,3,1,1,3,2,3,2
2022,20,3,2,1,2,3,3,3
2022,22,3,2,2,3,1,3,2
2022,12,2,1,1,3,1,2,1
2022,23,2,2,2,1,3,2,2
2022,9,2,3,1,2,3,2,1
2022,26,2,2,2,1,2,3,2
2022,20,3,2,2,3,3,3,2
2022,19,2,2,1,2,2,2,2
2022,14,2,1,1,2,1,3,1
2022,26,3,2,1,1,3,3,3
2022,24,3,3,2,3,3,3,2
2022,25,3,2,1,2,3,2,2
2022,21,1,1,1,1,2,1,1
2022,19,3,2,1,3,3,3,2
2022,12,3,3,3,2,3,3,3
2022,20,3,2,1,3,2,3,3
2022,17,2,2,2,3,3,3,2
2022,23,3,2,2,3,2,3,2
2022,23,3,1,2,2,1,3,1
2022,18,3,2,2,2,2,3,2
2022,24,3,2,2,3,2,3,2
2022,24,2,2,1,2,1,2,1
2022,26,1,2,1,2,2,3,1
2022,21,3,2,3,3,3,3,1
2022,26,2,1,1,2,2,2,2
2022,16,3,2,1,3,2,2,1
2022,9,2,2,2,3,2,2,2
2022,13,2,2,2,2,3,3,2
2022,20,2,1,2,3,1,3,2
2022,21,2,1,1,2,1,2,1
2022,26,3,2,2,3,1,3,1
2022,20,2,2,2,2,2,2,1
2022,25,3,3,3,2,3,3,2
2022,23,3,3,2,3,3,3,2
2022,26,3,1,1,2,3,2,2
2022,20,1,1,1,1,1,1,1
2022,20,3,1,1,3,1,3,2
2022,25,2,2,2,3,3,3,1
2022,25,3,2,2,3,2,2,1
2022,23,3,1,2,2,1,2,1
2022,26,3,1,1,3,2,3,1
2022,26,3,3,3,3,3,3,3
2022,23,3,2,2,3,1,3,1
2022,26,3,1,1,3,1,2,1
2022,26,3,2,1,2,2,2,2
2022,23,3,2,1,1,3,3,1
2022,20,1,2,2,1,1,1,1
2022,21,3,1,2,2,3,3,3
2022,18,2,2,2,2,2,2,2
2022,26,3,2,2,3,2,3,2
2022,20,3,1,2,3,1,3,2
2022,18,3,3,1,3,1,3,1
2022,26,3,2,2,3,3,3,2
2022,19,2,2,2,2,2,3,2
2022,21,3,2,3,3,2,3,1
2022,2,3,3,2,3,3,3,2
2022,20,3,3,2,2,2,2,2
2022,11,2,2,1,2,2,2,2
2022,24,2,2,2,3,3,3,3
2022,19,3,2,2,3,1,3,2
2022,21,3,2,2,3,3,3,2
2022,21,3,2,3,3,2,3,2
2022,4,3,3,3,3,2,3,1
2022,26,3,2,3,3,2,3,2
2022,24,3,2,1,2,3,3,1
2022,25,3,2,2,3,1,3,2
2022,22,3,1,2,2,2,2,2
2022,22,3,2,1,3,1,2,1
2022,19,3,2,1,2,1,2,1
2022,25,3,1,1,2,1,2,1
2022,19,3,1,1,3,1,2,1
2022,13,3,1,2,1,2,1,1
2022,22,3,2,2,2,3,3,1
2022,17,3,2,1,3,2,3,1
2022,26,3,2,2,3,2,3,2
2022,19,2,1,1,2,2,3,2
2022,19,2,1,1,1,3,3,1
2022,14,3,2,3,3,2,2,2
2022,26,2,2,1,3,3,2,2
2022,23,2,2,1,2,2,2,2
2022,23,2,2,2,2,1,2,1
2022,26,2,1,1,2,3,2,1
2022,20,3,1,2,3,3,3,2
2022,20,3,3,2,3,3,3,3
2022,20,3,2,2,2,1,3,1
2022,19,3,2,2,3,1,3,1
2022,26,2,1,1,2,3,2,2
2022,25,3,3,1,2,1,2,2
2022,24,3,1,2,3,2,3,2
2022,26,2,1,1,2,3,2,2
2022,18,3,1,1,3,1,3,1
2022,16,3,2,1,2,2,2,1
2022,23,3,3,1,2,2,2,1
2022,24,2,1,1,2,3,3,1
2022,10,2,2,2,2,3,2,2
2022,3,3,2,1,2,2,2,2
2022,21,2,2,1,2,2,2,3
2022,16,3,3,3,2,2,2,2
2022,15,2,2,2,2,2,3,2
2022,17,1,2,2,3,1,3,1
2022,21,2,2,2,2,2,2,2
2022,22,2,2,2,3,3,3,2
2022,25,3,2,2,2,3,2,1
2022,21,3,2,1,2,1,2,1
2022,19,3,2,1,3,3,3,1
2022,16,2,2,1,2,2,2,1
2022,15,2,1,1,2,3,2,1
2022,18,2,1,1,1,1,1,1
2022,17,3,2,3,3,2,3,2
2022,20,2,2,2,3,3,3,3
2022,21,2,3,2,2,3,3,2
2022,23,3,2,2,3,3,3,2
2022,22,3,1,2,3,3,3,1
2022,20,3,3,2,3,3,3,3
2022,20,3,1,1,3,2,2,1
2022,3,1,1,2,1,3,1,1
2022,20,3,3,2,2,3,3,2
2022,24,3,1,2,2,3,3,3
2022,9,3,2,2,3,3,3,2
2022,23,2,2,2,3,3,3,2
2022,19,3,3,3,2,3,3,2
2022,20,3,3,2,3,2,3,3
2022,14,3,1,1,3,3,3,2
2022,11,2,1,1,2,2,3,1
2022,8,2,2,1,3,3,2,3
2022,20,2,2,2,2,2,3,2
2022,16,3,3,1,3,3,3,3
2022,16,2,1,2,2,2,1,1
2022,2,2,2,2,2,1,2,2
2022,1,3,2,3,2,2,2,3
2022,17,3,2,2,2,2,2,2
2022,20,3,3,2,2,3,3,2
2022,15,3,3,2,2,3,3,2
2022,23,1,1,2,1,1,1,1
2022,26,3,3,2,2,2,3,1
2022,15,3,1,1,3,1,2,1
2022,17,3,2,1,1,1,1,2
2022,26,2,2,2,2,2,2,2
2022,20,2,1,2,2,3,2,2
2022,26,2,1,1,2,1,2,2
2022,16,1,1,1,2,2,2,1
2022,8,2,3,2,2,2,2,2
2022,7,3,3,2,2,2,3,3
2022,17,2,3,1,2,2,2,2
2022,20,2,2,2,1,2,2,1
2022,24,2,2,2,2,3,2,2
2022,23,3,2,2,3,3,3,2
2022,22,3,2,2,2,2,3,1
2022,23,2,1,1,2,3,2,1
2022,19,1,1,1,1,1,1,1
2022,16,3,3,3,3,3,3,3
2022,17,2,2,2,2,3,2,2
2022,18,2,3,2,2,3,3,2
2022,10,2,3,2,2,2,2,3
2022,17,2,2,3,2,2,3,2
2022,15,3,2,2,2,3,2,2
2022,13,3,2,2,2,2,2,2
2022,23,3,2,3,2,2,3,2
2022,24,2,2,2,3,3,3,2
2022,21,2,1,2,3,1,2,1
2022,22,2,2,2,2,1,2,1
2022,19,2,2,2,2,2,2,2
2022,20,3,2,2,3,2,2,2
2022,20,1,1,2,2,2,1,1
2022,22,3,2,3,3,3,3,2
2022,22,3,2,3,3,3,2,3
2022,3,2,2,1,3,2,2,2
2022,4,2,2,2,2,2,2,2
2022,16,3,1,1,2,3,3,1
2022,19,2,3,1,2,3,3,2
2022,20,3,2,2,3,3,3,3
2022,10,3,3,2,2,2,2,1
2022,20,3,2,1,3,2,3,1
2022,12,1,2,2,2,1,1,1
2022,15,3,3,3,3,3,3,2
2022,17,2,2,2,2,2,2,2
2022,19,3,1,3,3,3,3,3
2022,24,2,2,2,2,2,2,1
2022,20,2,2,2,2,3,3,2
2022,26,2,1,1,2,2,2,1
2022,20,3,1,2,3,1,2,1
2022,17,3,2,2,2,2,2,2
2022,20,3,2,3,3,3,3,2
2022,19,3,2,2,3,2,3,2
2022,26,1,1,1,1,1,3,1
2022,19,3,2,2,3,3,3,2
2022,15,1,3,1,2,1,2,1
2022,12,2,3,2,2,1,1,1
2022,16,3,1,1,3,2,2,1
