income16,conpress,conmedic,consci,confed,conjudge,conlegis,conarmy
"$150,000 to $169,999",only some,hardly any,only some,hardly any,only some,only some,only some
"$75,000 to $89,999",only some,only some,only some,only some,only some,only some,hardly any
"$60,000 to $74,999",only some,only some,only some,hardly any,a great deal,hardly any,only some
"$8,000 to $9,999",only some,only some,a great deal,only some,a great deal,hardly any,only some
"$12,500 to $14,999",,,,,,,
"$20,000 to $22,499",a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal
"under $1,000",only some,a great deal,a great deal,only some,hardly any,hardly any,only some
"$8,000 to $9,999",only some,a great deal,only some,only some,hardly any,only some,only some
"$25,000 to $29,999",hardly any,only some,only some,hardly any,hardly any,hardly any,only some
"$1,000 to $2,999",,,,,,,
"$30,000 to $34,999",hardly any,only some,only some,only some,only some,only some,only some
"$22,500 to $24,999",hardly any,a great deal,a great deal,only some,hardly any,hardly any,only some
"under $1,000",,,,,,,
"$17,500 to $19,999",,,,,,,
"$12,500 to $14,999",,,,,,,
"$90,000 to $109,999",,,,,,,
"$50,000 to $59,999",hardly any,only some,hardly any,,only some,only some,a great deal
"$22,500 to $24,999",only some,a great deal,a great deal,a great deal,only some,only some,a great deal
"$75,000 to $89,999",,,,,,,
,only some,only some,only some,only some,only some,only some,a great deal
"$50,000 to $59,999",,,,,,,
"$60,000 to $74,999",,,,,,,
"$170,000 or over",only some,a great deal,a great deal,a great deal,only some,hardly any,only some
,hardly any,a great deal,only some,only some,only some,only some,a great deal
"$170,000 or over",,,,,,,
"$60,000 to $74,999",hardly any,hardly any,only some,hardly any,hardly any,hardly any,a great deal
"$150,000 to $169,999",,,,,,,
"$150,000 to $169,999",only some,a great deal,only some,only some,only some,hardly any,a great deal
"$60,000 to $74,999",only some,only some,,,only some,hardly any,a great deal
"$40,000 to $49,999",,,,,,,
"$75,000 to $89,999",hardly any,a great deal,only some,only some,only some,only some,a great deal
"$22,500 to $24,999",,,,,,,
"$22,500 to $24,999",only some,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal
,only some,hardly any,,hardly any,hardly any,hardly any,only some
"$22,500 to $24,999",a great deal,hardly any,a great deal,a great deal,only some,hardly any,a great deal
"$130,000 to $149,999",only some,only some,only some,only some,only some,only some,only some
"$25,000 to $29,999",,,,,,,
"$90,000 to $109,999",hardly any,only some,a great deal,only some,only some,only some,only some
"$130,000 to $149,999",hardly any,a great deal,a great deal,only some,only some,hardly any,only some
"$50,000 to $59,999",only some,a great deal,a great deal,hardly any,only some,hardly any,only some
"$20,000 to $22,499",only some,a great deal,,only some,only some,,
"$6,000 to $6,999",a great deal,a great deal,a great deal,only some,only some,hardly any,hardly any
"$35,000 to $39,999",only some,a great deal,a great deal,only some,a great deal,only some,a great deal
"$170,000 or over",hardly any,a great deal,a great deal,hardly any,only some,only some,only some
"$50,000 to $59,999",hardly any,only some,only some,a great deal,only some,a great deal,only some
"$110,000 to $129,999",only some,only some,only some,only some,only some,hardly any,only some
"$1,000 to $2,999",,,,,,,
,only some,a great deal,,,,hardly any,hardly any
"$60,000 to $74,999",hardly any,only some,a great deal,hardly any,hardly any,hardly any,only some
"$12,500 to $14,999",,,,,,,
"$30,000 to $34,999",hardly any,only some,only some,hardly any,only some,hardly any,a great deal
"$10,000 to $12,499",,,,,,,
"$12,500 to $14,999",,,,,,,
"$35,000 to $39,999",only some,a great deal,only some,only some,only some,only some,a great deal
"$130,000 to $149,999",,,,,,,
,only some,a great deal,a great deal,only some,a great deal,only some,a great deal
"$170,000 or over",hardly any,only some,a great deal,hardly any,only some,hardly any,only some
,only some,a great deal,a great deal,a great deal,a great deal,hardly any,only some
"under $1,000",hardly any,a great deal,a great deal,only some,hardly any,hardly any,a great deal
"$110,000 to $129,999",only some,only some,only some,only some,only some,hardly any,only some
"$170,000 or over",a great deal,a great deal,a great deal,a great deal,a great deal,only some,a great deal
"$75,000 to $89,999",only some,a great deal,a great deal,hardly any,only some,hardly any,a great deal
,only some,a great deal,only some,only some,a great deal,hardly any,a great deal
"$170,000 or over",,,,,,,
"$75,000 to $89,999",hardly any,a great deal,only some,only some,only some,only some,only some
,only some,a great deal,only some,,,,only some
"$170,000 or over",,,,,,,
"$90,000 to $109,999",hardly any,only some,a great deal,only some,only some,hardly any,a great deal
"$170,000 or over",hardly any,only some,only some,only some,only some,only some,only some
"$130,000 to $149,999",,,,,,,
"$170,000 or over",only some,a great deal,a great deal,a great deal,only some,only some,a great deal
"$60,000 to $74,999",only some,only some,only some,a great deal,only some,hardly any,a great deal
"$110,000 to $129,999",,,,,,,
"$60,000 to $74,999",only some,only some,only some,only some,only some,only some,only some
"$60,000 to $74,999",,,,,,,
"$12,500 to $14,999",hardly any,a great deal,a great deal,only some,only some,only some,a great deal
"$50,000 to $59,999",,,,,,,
"$50,000 to $59,999",hardly any,only some,a great deal,only some,only some,hardly any,only some
"$15,000 to $17,499",only some,a great deal,only some,hardly any,a great deal,only some,a great deal
"$12,500 to $14,999",hardly any,a great deal,a great deal,hardly any,hardly any,hardly any,a great deal
"$150,000 to $169,999",,,,,,,
"$60,000 to $74,999",only some,only some,a great deal,hardly any,hardly any,hardly any,a great deal
"$90,000 to $109,999",,,,,,,
,hardly any,only some,only some,hardly any,hardly any,hardly any,a great deal
"$1,000 to $2,999",only some,only some,only some,hardly any,only some,hardly any,a great deal
"$60,000 to $74,999",hardly any,only some,only some,hardly any,hardly any,hardly any,only some
"$170,000 or over",a great deal,a great deal,a great deal,only some,a great deal,hardly any,a great deal
"$170,000 or over",only some,a great deal,a great deal,only some,only some,hardly any,a great deal
"$170,000 or over",only some,a great deal,a great deal,hardly any,only some,hardly any,a great deal
"$60,000 to $74,999",only some,only some,only some,hardly any,a great deal,a great deal,a great deal
"$35,000 to $39,999",,,,,,,
"$170,000 or over",a great deal,a great deal,a great deal,a great deal,only some,hardly any,a great deal
"$40,000 to $49,999",hardly any,hardly any,only some,hardly any,only some,only some,hardly any
,only some,a great deal,only some,only some,only some,only some,a great deal
"$17,500 to $19,999",,,,,,,
"$75,000 to $89,999",only some,a great deal,a great deal,hardly any,only some,hardly any,only some
"$5,000 to $5,999",,,,,,,
"$40,000 to $49,999",a great deal,only some,a great deal,only some,a great deal,hardly any,a great deal
"$40,000 to $49,999",,,,,,,
"$110,000 to $129,999",hardly any,only some,hardly any,only some,only some,only some,only some
"$90,000 to $109,999",,,,,,,
"$50,000 to $59,999",only some,only some,a great deal,only some,only some,a great deal,a great deal
"$75,000 to $89,999",,,,,,,
"$12,500 to $14,999",hardly any,hardly any,hardly any,hardly any,hardly any,hardly any,hardly any
,only some,only some,,,,,
"$7,000 to $7,999",only some,hardly any,only some,hardly any,hardly any,hardly any,a great deal
"$75,000 to $89,999",only some,hardly any,only some,only some,only some,hardly any,hardly any
"$75,000 to $89,999",only some,a great deal,a great deal,only some,a great deal,hardly any,only some
,hardly any,hardly any,hardly any,only some,hardly any,hardly any,hardly any
"$22,500 to $24,999",hardly any,hardly any,,hardly any,only some,hardly any,only some
"$17,500 to $19,999",hardly any,hardly any,a great deal,hardly any,hardly any,hardly any,a great deal
"under $1,000",hardly any,a great deal,a great deal,a great deal,only some,hardly any,hardly any
"$90,000 to $109,999",only some,a great deal,only some,only some,only some,only some,only some
"$30,000 to $34,999",hardly any,only some,only some,hardly any,only some,hardly any,only some
"$60,000 to $74,999",,,,,,,
"$130,000 to $149,999",,,,,,,
"$170,000 or over",only some,only some,a great deal,only some,a great deal,only some,a great deal
"$40,000 to $49,999",only some,a great deal,a great deal,a great deal,a great deal,only some,a great deal
"$10,000 to $12,499",,,,,,,
"$35,000 to $39,999",hardly any,only some,only some,only some,only some,only some,a great deal
"$15,000 to $17,499",,,,,,,
"$10,000 to $12,499",hardly any,hardly any,only some,a great deal,only some,hardly any,only some
"$8,000 to $9,999",only some,only some,only some,hardly any,a great deal,a great deal,hardly any
"$10,000 to $12,499",hardly any,a great deal,a great deal,only some,a great deal,a great deal,a great deal
,only some,only some,only some,a great deal,a great deal,only some,a great deal
"$60,000 to $74,999",hardly any,a great deal,only some,hardly any,only some,hardly any,only some
"$75,000 to $89,999",,,,,,,
"under $1,000",,,,,,,
"$15,000 to $17,499",hardly any,hardly any,hardly any,hardly any,hardly any,hardly any,hardly any
"$20,000 to $22,499",only some,only some,only some,only some,only some,only some,a great deal
"$17,500 to $19,999",only some,hardly any,only some,only some,only some,only some,a great deal
"$25,000 to $29,999",a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal
"$60,000 to $74,999",,,,,,,
"$22,500 to $24,999",,,,,,,
"$50,000 to $59,999",only some,hardly any,only some,hardly any,a great deal,only some,only some
"$22,500 to $24,999",only some,a great deal,only some,only some,a great deal,a great deal,a great deal
"$130,000 to $149,999",,,,,,,
"$75,000 to $89,999",,,,,,,
"$90,000 to $109,999",,,,,,,
"$170,000 or over",,,,,,,
"$90,000 to $109,999",only some,only some,,only some,only some,only some,a great deal
"$75,000 to $89,999",a great deal,a great deal,a great deal,only some,a great deal,only some,a great deal
"$110,000 to $129,999",only some,a great deal,a great deal,only some,a great deal,only some,only some
"$60,000 to $74,999",hardly any,hardly any,a great deal,only some,only some,hardly any,hardly any
"$20,000 to $22,499",a great deal,a great deal,a great deal,only some,a great deal,hardly any,only some
"$130,000 to $149,999",,,,,,,
,only some,a great deal,only some,hardly any,only some,hardly any,only some
"$20,000 to $22,499",hardly any,only some,only some,hardly any,only some,only some,only some
"$170,000 or over",,,,,,,
"$150,000 to $169,999",hardly any,a great deal,only some,hardly any,only some,only some,only some
"$60,000 to $74,999",,,,,,,
"$170,000 or over",hardly any,only some,only some,hardly any,only some,only some,only some
"$40,000 to $49,999",hardly any,only some,a great deal,hardly any,hardly any,hardly any,a great deal
"$60,000 to $74,999",hardly any,a great deal,only some,only some,only some,only some,a great deal
"$50,000 to $59,999",hardly any,only some,a great deal,only some,only some,hardly any,a great deal
"$40,000 to $49,999",,,,,,,
"$75,000 to $89,999",,,,,,,
"$170,000 or over",only some,a great deal,a great deal,only some,a great deal,hardly any,a great deal
,,only some,,hardly any,only some,hardly any,only some
"$60,000 to $74,999",only some,a great deal,only some,only some,a great deal,only some,a great deal
"$75,000 to $89,999",hardly any,a great deal,a great deal,only some,a great deal,hardly any,a great deal
"$170,000 or over",only some,a great deal,a great deal,hardly any,a great deal,only some,a great deal
"$40,000 to $49,999",hardly any,only some,only some,hardly any,only some,hardly any,hardly any
"$60,000 to $74,999",,,,,,,
"$50,000 to $59,999",a great deal,a great deal,a great deal,a great deal,a great deal,hardly any,a great deal
"$60,000 to $74,999",hardly any,only some,only some,hardly any,hardly any,hardly any,a great deal
"$50,000 to $59,999",only some,only some,only some,hardly any,only some,only some,a great deal
"$60,000 to $74,999",hardly any,a great deal,a great deal,hardly any,only some,hardly any,a great deal
"$35,000 to $39,999",,,,,,,
"$170,000 or over",only some,only some,only some,hardly any,a great deal,hardly any,only some
"$170,000 or over",hardly any,only some,a great deal,only some,only some,only some,only some
"$110,000 to $129,999",a great deal,only some,a great deal,only some,a great deal,hardly any,a great deal
"$170,000 or over",hardly any,only some,only some,only some,a great deal,only some,a great deal
"$130,000 to $149,999",,,,,,,
"$60,000 to $74,999",only some,a great deal,a great deal,only some,a great deal,a great deal,a great deal
"$75,000 to $89,999",hardly any,only some,only some,hardly any,only some,only some,only some
"$50,000 to $59,999",,,,,,,
"$90,000 to $109,999",hardly any,only some,only some,hardly any,only some,only some,a great deal
"$50,000 to $59,999",hardly any,hardly any,only some,hardly any,hardly any,only some,only some
"$60,000 to $74,999",,,,,,,
"$50,000 to $59,999",hardly any,only some,,only some,only some,only some,a great deal
"$60,000 to $74,999",hardly any,hardly any,hardly any,only some,only some,hardly any,a great deal
"$60,000 to $74,999",,,,,,,
"$130,000 to $149,999",,,,,,,
"$90,000 to $109,999",hardly any,a great deal,a great deal,only some,only some,only some,a great deal
"$110,000 to $129,999",hardly any,a great deal,a great deal,a great deal,a great deal,hardly any,a great deal
,hardly any,only some,only some,,only some,only some,a great deal
"$170,000 or over",hardly any,a great deal,a great deal,hardly any,a great deal,only some,a great deal
,hardly any,only some,a great deal,only some,a great deal,only some,a great deal
"$170,000 or over",hardly any,only some,only some,only some,only some,hardly any,only some
"$75,000 to $89,999",hardly any,hardly any,hardly any,hardly any,hardly any,hardly any,hardly any
"$90,000 to $109,999",hardly any,a great deal,a great deal,hardly any,only some,hardly any,a great deal
,hardly any,only some,only some,hardly any,only some,a great deal,a great deal
,only some,hardly any,only some,hardly any,a great deal,a great deal,a great deal
"$50,000 to $59,999",,,,,,,
"$75,000 to $89,999",,,,,,,
"$75,000 to $89,999",hardly any,only some,only some,only some,only some,only some,a great deal
"$60,000 to $74,999",,,,,,,
"under $1,000",only some,only some,a great deal,a great deal,a great deal,only some,a great deal
"$25,000 to $29,999",a great deal,only some,only some,only some,only some,only some,a great deal
"$3,000 to $3,999",,,,,,,
"$22,500 to $24,999",only some,only some,a great deal,only some,a great deal,only some,a great deal
"$35,000 to $39,999",hardly any,hardly any,only some,hardly any,hardly any,hardly any,a great deal
"$75,000 to $89,999",,,,,,,
"$25,000 to $29,999",hardly any,only some,hardly any,hardly any,only some,hardly any,only some
"$90,000 to $109,999",only some,only some,a great deal,hardly any,only some,hardly any,only some
"$75,000 to $89,999",hardly any,a great deal,a great deal,a great deal,a great deal,hardly any,hardly any
"$60,000 to $74,999",hardly any,a great deal,a great deal,only some,only some,only some,a great deal
"$60,000 to $74,999",hardly any,a great deal,a great deal,hardly any,hardly any,hardly any,only some
"$90,000 to $109,999",,,,,,,
"$50,000 to $59,999",only some,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal
"$30,000 to $34,999",,,,,,,
,hardly any,a great deal,only some,a great deal,a great deal,only some,a great deal
"$130,000 to $149,999",hardly any,only some,a great deal,hardly any,only some,hardly any,only some
"$35,000 to $39,999",hardly any,a great deal,only some,hardly any,only some,only some,a great deal
"$50,000 to $59,999",only some,only some,only some,only some,only some,only some,a great deal
"$75,000 to $89,999",hardly any,only some,only some,only some,only some,only some,only some
"$30,000 to $34,999",,,,,,,
"$17,500 to $19,999",,,,,,,
,only some,only some,only some,only some,only some,hardly any,
"$110,000 to $129,999",,,,,,,
"$75,000 to $89,999",only some,hardly any,only some,hardly any,only some,only some,only some
"$15,000 to $17,499",a great deal,hardly any,only some,only some,only some,hardly any,a great deal
"$60,000 to $74,999",hardly any,hardly any,a great deal,hardly any,hardly any,hardly any,hardly any
"$150,000 to $169,999",,,,,,,
"$90,000 to $109,999",,,,,,,
"$170,000 or over",only some,only some,only some,only some,only some,hardly any,hardly any
"$110,000 to $129,999",only some,only some,a great deal,only some,only some,hardly any,only some
"$170,000 or over",,,,,,,
"$10,000 to $12,499",,,,,,,
"$25,000 to $29,999",only some,only some,only some,only some,only some,only some,only some
"$25,000 to $29,999",hardly any,a great deal,a great deal,hardly any,a great deal,only some,a great deal
"$75,000 to $89,999",,,,,,,
"$90,000 to $109,999",hardly any,hardly any,a great deal,hardly any,hardly any,hardly any,hardly any
"$170,000 or over",,,,,,,
"$35,000 to $39,999",hardly any,only some,a great deal,hardly any,only some,hardly any,hardly any
"$22,500 to $24,999",,,,,,,
"$10,000 to $12,499",only some,only some,only some,hardly any,only some,only some,only some
"$22,500 to $24,999",only some,a great deal,hardly any,a great deal,only some,hardly any,a great deal
"$22,500 to $24,999",,,,,,,
"$90,000 to $109,999",,,,,,,
"$150,000 to $169,999",,,,,,,
"$50,000 to $59,999",only some,only some,a great deal,only some,only some,hardly any,a great deal
"$20,000 to $22,499",only some,only some,only some,only some,only some,only some,only some
"$10,000 to $12,499",,a great deal,a great deal,,only some,only some,a great deal
"$170,000 or over",a great deal,a great deal,only some,a great deal,a great deal,hardly any,a great deal
"$170,000 or over",only some,a great deal,a great deal,only some,a great deal,only some,a great deal
"$90,000 to $109,999",hardly any,only some,a great deal,only some,only some,only some,only some
"$90,000 to $109,999",only some,a great deal,a great deal,only some,only some,only some,only some
"$60,000 to $74,999",only some,a great deal,a great deal,only some,only some,hardly any,only some
"$130,000 to $149,999",only some,only some,only some,a great deal,only some,hardly any,only some
"$60,000 to $74,999",,,,,,,
"$22,500 to $24,999",only some,only some,a great deal,only some,a great deal,only some,a great deal
"$40,000 to $49,999",,,,,,,
"$130,000 to $149,999",,,,,,,
"$3,000 to $3,999",only some,a great deal,only some,only some,a great deal,a great deal,a great deal
"$90,000 to $109,999",only some,only some,a great deal,hardly any,only some,hardly any,only some
"$40,000 to $49,999",,,,,,,
"$17,500 to $19,999",,,,,,,
"under $1,000",only some,hardly any,only some,hardly any,only some,hardly any,only some
"$40,000 to $49,999",,,,,,,
"$40,000 to $49,999",only some,a great deal,only some,only some,only some,only some,a great deal
"$40,000 to $49,999",,,,,,,
"$170,000 or over",,,,,,,
"$170,000 or over",,,,,,,
"$170,000 or over",only some,only some,only some,hardly any,only some,hardly any,only some
"$150,000 to $169,999",only some,only some,only some,only some,a great deal,only some,a great deal
"$130,000 to $149,999",only some,a great deal,a great deal,only some,a great deal,only some,a great deal
"$60,000 to $74,999",,,,,,,
"$60,000 to $74,999",hardly any,only some,a great deal,only some,hardly any,only some,a great deal
"$130,000 to $149,999",hardly any,only some,only some,hardly any,hardly any,only some,only some
"$150,000 to $169,999",hardly any,a great deal,only some,hardly any,only some,only some,a great deal
"$75,000 to $89,999",hardly any,hardly any,only some,hardly any,only some,hardly any,a great deal
"$170,000 or over",,,,,,,
"$35,000 to $39,999",hardly any,a great deal,only some,only some,a great deal,hardly any,a great deal
"$90,000 to $109,999",only some,a great deal,a great deal,a great deal,only some,hardly any,only some
"$110,000 to $129,999",hardly any,only some,only some,hardly any,only some,hardly any,only some
"$170,000 or over",hardly any,a great deal,only some,only some,a great deal,only some,a great deal
"$30,000 to $34,999",only some,only some,only some,only some,only some,hardly any,only some
"$40,000 to $49,999",only some,only some,only some,only some,only some,only some,only some
"$25,000 to $29,999",hardly any,only some,only some,hardly any,hardly any,hardly any,hardly any
,only some,only some,only some,hardly any,only some,hardly any,only some
"$50,000 to $59,999",,,,,,,
"$30,000 to $34,999",only some,only some,only some,only some,only some,only some,only some
"$50,000 to $59,999",,,,,,,
"$35,000 to $39,999",only some,a great deal,only some,only some,a great deal,only some,only some
"$170,000 or over",,,,,,,
"$110,000 to $129,999",hardly any,only some,only some,hardly any,only some,hardly any,only some
"$75,000 to $89,999",,,,,,,
"$60,000 to $74,999",hardly any,hardly any,only some,hardly any,only some,hardly any,only some
"$110,000 to $129,999",hardly any,only some,only some,hardly any,only some,hardly any,a great deal
"$75,000 to $89,999",only some,a great deal,,a great deal,a great deal,only some,a great deal
"$75,000 to $89,999",only some,only some,a great deal,only some,only some,only some,a great deal
"$60,000 to $74,999",hardly any,only some,only some,hardly any,only some,hardly any,a great deal
"$170,000 or over",,,,,,,
"$110,000 to $129,999",hardly any,only some,a great deal,hardly any,hardly any,hardly any,only some
"$50,000 to $59,999",hardly any,a great deal,a great deal,hardly any,only some,only some,a great deal
"$130,000 to $149,999",,,,,,,
"$130,000 to $149,999",only some,only some,only some,only some,only some,hardly any,only some
"$170,000 or over",,,,,,,
"$60,000 to $74,999",hardly any,only some,only some,only some,only some,only some,a great deal
"$90,000 to $109,999",,,,,,,
"$22,500 to $24,999",hardly any,only some,only some,a great deal,only some,hardly any,only some
"$25,000 to $29,999",hardly any,a great deal,a great deal,hardly any,a great deal,only some,a great deal
"$170,000 or over",only some,a great deal,a great deal,,,,
"$170,000 or over",hardly any,only some,a great deal,hardly any,a great deal,only some,a great deal
,hardly any,a great deal,only some,hardly any,a great deal,hardly any,hardly any
"$75,000 to $89,999",,,,,,,
,hardly any,hardly any,hardly any,hardly any,only some,hardly any,a great deal
"$60,000 to $74,999",hardly any,only some,a great deal,only some,hardly any,hardly any,a great deal
"$50,000 to $59,999",only some,only some,only some,only some,only some,only some,only some
"$50,000 to $59,999",,,,,,,
"$170,000 or over",hardly any,only some,only some,only some,only some,only some,only some
"$130,000 to $149,999",hardly any,only some,only some,a great deal,hardly any,hardly any,only some
"$60,000 to $74,999",only some,a great deal,a great deal,only some,only some,hardly any,only some
"$170,000 or over",hardly any,a great deal,a great deal,a great deal,only some,hardly any,a great deal
"$12,500 to $14,999",,,,,,,
"$60,000 to $74,999",hardly any,only some,only some,only some,only some,hardly any,only some
"$170,000 or over",hardly any,only some,only some,only some,only some,hardly any,only some
"$90,000 to $109,999",,,,,,,
,only some,only some,only some,only some,only some,only some,only some
"$35,000 to $39,999",a great deal,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal
"$90,000 to $109,999",only some,a great deal,a great deal,only some,only some,hardly any,hardly any
,hardly any,hardly any,a great deal,only some,only some,only some,only some
"$25,000 to $29,999",a great deal,only some,a great deal,a great deal,only some,only some,a great deal
"$30,000 to $34,999",only some,a great deal,a great deal,a great deal,a great deal,only some,a great deal
"$110,000 to $129,999",a great deal,only some,a great deal,only some,only some,hardly any,a great deal
"$90,000 to $109,999",only some,only some,only some,a great deal,hardly any,hardly any,only some
"$30,000 to $34,999",only some,only some,a great deal,a great deal,a great deal,only some,a great deal
"$150,000 to $169,999",,,,,,,
"$25,000 to $29,999",hardly any,only some,a great deal,only some,only some,only some,only some
"$130,000 to $149,999",,,,,,,
"$50,000 to $59,999",hardly any,a great deal,a great deal,hardly any,a great deal,hardly any,a great deal
"$90,000 to $109,999",,,,,,,
"$90,000 to $109,999",only some,only some,only some,only some,only some,only some,only some
"$75,000 to $89,999",hardly any,a great deal,only some,hardly any,only some,hardly any,a great deal
"$150,000 to $169,999",hardly any,only some,a great deal,only some,only some,only some,a great deal
"$60,000 to $74,999",hardly any,only some,only some,only some,only some,only some,only some
"$170,000 or over",,,,,,,
"$90,000 to $109,999",only some,only some,only some,a great deal,only some,hardly any,a great deal
"$130,000 to $149,999",hardly any,only some,a great deal,hardly any,only some,only some,a great deal
"$110,000 to $129,999",a great deal,a great deal,a great deal,only some,a great deal,only some,only some
"$170,000 or over",,,,,,,
"$40,000 to $49,999",,,,,,,
"$15,000 to $17,499",only some,a great deal,a great deal,only some,only some,hardly any,only some
"$75,000 to $89,999",hardly any,a great deal,only some,hardly any,only some,hardly any,a great deal
"$150,000 to $169,999",only some,a great deal,a great deal,hardly any,only some,hardly any,a great deal
"$90,000 to $109,999",,,,,,,
"$22,500 to $24,999",,,,,,,
"$50,000 to $59,999",hardly any,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal
"$40,000 to $49,999",,,,,,,
,only some,only some,only some,only some,only some,hardly any,a great deal
,hardly any,only some,hardly any,hardly any,only some,hardly any,only some
"$20,000 to $22,499",,,,,,,
"$35,000 to $39,999",only some,only some,only some,only some,only some,only some,a great deal
"$50,000 to $59,999",,,,,,,
"$40,000 to $49,999",hardly any,only some,a great deal,a great deal,a great deal,a great deal,a great deal
"$170,000 or over",hardly any,only some,only some,only some,only some,hardly any,only some
"$90,000 to $109,999",a great deal,a great deal,a great deal,only some,a great deal,hardly any,only some
,only some,a great deal,a great deal,only some,a great deal,only some,a great deal
"$170,000 or over",,,,,,,
"$170,000 or over",,,,,,,
"$90,000 to $109,999",only some,hardly any,only some,hardly any,only some,only some,only some
"$50,000 to $59,999",,,,,,,
"$60,000 to $74,999",hardly any,only some,only some,only some,hardly any,hardly any,only some
"under $1,000",only some,hardly any,only some,hardly any,only some,only some,only some
"$30,000 to $34,999",hardly any,only some,hardly any,hardly any,hardly any,hardly any,only some
"$60,000 to $74,999",only some,only some,only some,only some,only some,only some,a great deal
"$40,000 to $49,999",hardly any,a great deal,a great deal,hardly any,hardly any,hardly any,a great deal
"$130,000 to $149,999",hardly any,a great deal,a great deal,hardly any,a great deal,hardly any,a great deal
"$90,000 to $109,999",,,,,,,
"$8,000 to $9,999",only some,a great deal,only some,a great deal,only some,only some,a great deal
"$15,000 to $17,499",,,,,,,
"$75,000 to $89,999",hardly any,only some,hardly any,a great deal,only some,hardly any,only some
"$170,000 or over",only some,a great deal,a great deal,a great deal,a great deal,a great deal,a great deal
"$30,000 to $34,999",a great deal,a great deal,a great deal,only some,only some,hardly any,a great deal
"$25,000 to $29,999",only some,a great deal,a great deal,hardly any,hardly any,hardly any,only some
"$60,000 to $74,999",,,,,,,
,only some,only some,a great deal,only some,,,only some
"$50,000 to $59,999",,,,,,,
"$50,000 to $59,999",hardly any,only some,a great deal,hardly any,hardly any,hardly any,a great deal
"$170,000 or over",,,,,,,
"$60,000 to $74,999",hardly any,a great deal,a great deal,hardly any,only some,only some,only some
"$25,000 to $29,999",,,,,,,
"$75,000 to $89,999",only some,a great deal,only some,only some,only some,only some,only some
,only some,a great deal,only some,only some,only some,only some,a great deal
"$35,000 to $39,999",only some,only some,a great deal,only some,only some,hardly any,a great deal
"$25,000 to $29,999",,,,,,,
"$10,000 to $12,499",only some,only some,only some,only some,a great deal,only some,a great deal
"$170,000 or over",,,,,,,
"$170,000 or over",only some,a great deal,a great deal,hardly any,a great deal,hardly any,only some
"$170,000 or over",only some,a great deal,a great deal,hardly any,only some,only some,a great deal
"$170,000 or over",only some,a great deal,a great deal,only some,only some,hardly any,a great deal
,only some,a great deal,a great deal,only some,only some,hardly any,a great deal
"$170,000 or over",only some,a great deal,a great deal,a great deal,only some,only some,only some
"$170,000 or over",only some,only some,only some,a great deal,a great deal,hardly any,a great deal
"$60,000 to $74,999",hardly any,a great deal,a great deal,only some,only some,only some,only some
"$110,000 to $129,999",only some,only some,a great deal,only some,a great deal,hardly any,only some
"$130,000 to $149,999",,,,,,,
"$170,000 or over",only some,a great deal,a great deal,a great deal,a great deal,hardly any,a great deal
"$110,000 to $129,999",hardly any,only some,only some,hardly any,only some,only some,only some
"$170,000 or over",,,,,,,
"$170,000 or over",only some,only some,only some,only some,a great deal,hardly any,a great deal
"$130,000 to $149,999",only some,only some,a great deal,only some,a great deal,hardly any,only some
"$110,000 to $129,999",hardly any,only some,only some,only some,only some,only some,a great deal
"$40,000 to $49,999",,,,,,,
"$110,000 to $129,999",hardly any,hardly any,only some,hardly any,only some,only some,hardly any
"$40,000 to $49,999",hardly any,only some,only some,hardly any,only some,hardly any,only some
"$30,000 to $34,999",,,,,,,
"$35,000 to $39,999",hardly any,a great deal,a great deal,only some,a great deal,hardly any,only some
"$40,000 to $49,999",,,,,,,
"$10,000 to $12,499",only some,only some,only some,a great deal,only some,only some,only some
"$8,000 to $9,999",,,,,,,
"$40,000 to $49,999",only some,only some,a great deal,a great deal,only some,hardly any,a great deal
"$75,000 to $89,999",hardly any,a great deal,only some,only some,only some,only some,a great deal
"$30,000 to $34,999",,,,,,,
"$130,000 to $149,999",hardly any,only some,a great deal,hardly any,only some,hardly any,a great deal
"$150,000 to $169,999",hardly any,only some,a great deal,only some,a great deal,hardly any,only some
"$90,000 to $109,999",hardly any,only some,only some,hardly any,only some,hardly any,only some
"$110,000 to $129,999",,,,,,,
"$170,000 or over",only some,only some,only some,hardly any,only some,a great deal,a great deal
"$75,000 to $89,999",hardly any,only some,only some,hardly any,hardly any,hardly any,a great deal
"$40,000 to $49,999",hardly any,a great deal,a great deal,only some,only some,only some,a great deal
,hardly any,a great deal,,,,,
"$10,000 to $12,499",a great deal,a great deal,a great deal,only some,only some,only some,a great deal
"$17,500 to $19,999",a great deal,only some,a great deal,a great deal,,,only some
,a great deal,a great deal,only some,only some,only some,only some,a great deal
"$30,000 to $34,999",,,,,,,
"$75,000 to $89,999",,,,,,,
"$60,000 to $74,999",only some,a great deal,only some,hardly any,only some,hardly any,a great deal
"$90,000 to $109,999",hardly any,hardly any,only some,hardly any,a great deal,hardly any,hardly any
"$10,000 to $12,499",only some,only some,a great deal,hardly any,only some,hardly any,hardly any
"$50,000 to $59,999",,,,,,,
